time,open,high,low,close,volume
10/7/2022 10:50,135.65,136.11,135.55,135.96,332373
10/7/2022 10:55,135.96,136.38,135.59,136.245,317221
10/7/2022 11:00,136.25,136.36,135.89,135.945,286286
10/7/2022 11:05,135.94,136.15,135.7976,135.958,256351
10/7/2022 11:10,135.94,135.94,135.27,135.29,304440
10/7/2022 11:15,135.26,135.465,135.17,135.44,379772
10/7/2022 11:20,135.46,135.69,135.14,135.17,290776
10/7/2022 11:25,135.19,135.275,134.91,135.03,314965
10/7/2022 11:30,135.03,135.22,134.91,134.991,254944
10/7/2022 11:35,134.98,135.18,134.66,134.71,383992
10/7/2022 11:40,134.72,135.1,134.71,134.905,280799
10/7/2022 11:45,134.88,134.88,134.57,134.79,281787
10/7/2022 11:50,134.775,134.81,134.47,134.49,247635
10/7/2022 11:55,134.51,134.86,134.41,134.77,296397
10/7/2022 12:00,134.76,135.1,134.71,134.92,229115
10/7/2022 12:05,134.955,135.11,134.7915,135.04,275631
10/7/2022 12:10,135.05,135.24,134.86,135.11,233413
10/7/2022 12:15,135.13,135.27,135,135.035,160655
10/7/2022 12:20,135.03,135.0437,134.69,134.78,215063
10/7/2022 12:25,134.77,134.81,134.245,134.25,356864
10/7/2022 12:30,134.255,134.55,134.24,134.27,288235
10/7/2022 12:35,134.26,134.42,134.03,134.26,380846
10/7/2022 12:40,134.267,134.5904,134.175,134.5904,275675
10/7/2022 12:45,134.594,134.605,134.24,134.36,348828
10/7/2022 12:50,134.38,134.38,134.16,134.25,263191
10/7/2022 12:55,134.2699,134.56,134.18,134.485,298501
10/7/2022 13:00,134.49,134.73,134.49,134.6793,221112
10/7/2022 13:05,134.6629,134.6629,134.325,134.45,183698
10/7/2022 13:10,134.45,134.64,133.935,133.96,528606
10/7/2022 13:15,133.97,134.1403,133.87,133.98,524035
10/7/2022 13:20,133.9844,134.289,133.91,134.12,282392
10/7/2022 13:25,134.11,134.15,133.86,133.9672,271363
10/7/2022 13:30,133.9798,134.07,133.7,133.72,329590
10/7/2022 13:35,133.71,133.72,133.0501,133.14,734056
10/7/2022 13:40,133.14,133.45,132.92,133.255,479127
10/7/2022 13:45,133.2201,133.35,133.15,133.22,272811
10/7/2022 13:50,133.2,133.25,132.89,132.89,315350
10/7/2022 13:55,132.88,133.01,132.83,132.85,391568
10/7/2022 14:00,132.8569,132.93,132.55,132.6706,401571
10/7/2022 14:05,132.66,133.05,132.44,132.9021,468390
10/7/2022 14:10,132.91,133.08,132.68,132.86,397518
10/7/2022 14:15,132.82,133.27,132.68,133.25,391586
10/7/2022 14:20,133.255,133.46,133.17,133.28,260073
10/7/2022 14:25,133.28,133.4271,132.93,133.06,401706
10/7/2022 14:30,133.08,133.2302,132.96,133.04,235532
10/7/2022 14:35,133.04,133.11,132.715,133.09,399309
10/7/2022 14:40,133.095,133.4,133,133.2,296940
10/7/2022 14:45,133.19,133.4487,133.13,133.17,291445
10/7/2022 14:50,133.157,133.38,133.01,133.21,323255
10/7/2022 14:55,133.21,133.3165,133.1,133.19,215766
10/7/2022 15:00,133.179,133.3099,133.03,133.13,241844
10/7/2022 15:05,133.12,133.58,133.12,133.58,279039
10/7/2022 15:10,133.57,133.66,133.37,133.595,309281
10/7/2022 15:15,133.5914,133.6411,132.94,133.03,386306
10/7/2022 15:20,133.03,133.2,132.8899,133.04,273196
10/7/2022 15:25,133.04,133.16,132.88,133.07,275169
10/7/2022 15:30,133.06,133.0907,132.78,132.98,343050
10/7/2022 15:35,132.9589,132.97,132.56,132.6258,370328
10/7/2022 15:40,132.62,133.2,132.56,133.18,410450
10/7/2022 15:45,133.17,133.41,133.01,133.23,396508
10/7/2022 15:50,133.23,133.385,133.06,133.25,424133
10/7/2022 15:55,133.27,133.5,132.97,133.21,621887
10/7/2022 16:00,133.22,133.66,133.1,133.45,1476461
10/7/2022 16:05,133.45,133.6,133.27,133.36,414287
10/7/2022 16:10,133.32,133.45,133.27,133.28,23621
10/7/2022 16:15,133.45,133.45,133.1806,133.2,27308
10/7/2022 16:20,133.2,133.25,133.18,133.18,5169
10/7/2022 16:25,133.116,133.13,133.1,133.1,548
10/7/2022 16:30,133.21,133.45,133.14,133.18,16358
10/7/2022 16:35,133.19,133.45,133.1,133.1,14611
10/7/2022 16:40,133.2,133.45,133.1299,133.13,38207
10/7/2022 16:45,133.19,133.2,133.18,133.2,1061
10/7/2022 16:50,133.18,133.25,133.18,133.25,3785
10/7/2022 16:55,133.2,133.21,133.1006,133.1006,1810
10/7/2022 17:00,133.1,133.18,133.1,133.18,1229
10/7/2022 17:05,133.16,133.2337,133.15,133.2337,448
10/7/2022 17:10,133.2,133.25,133.2,133.25,1826
10/7/2022 17:15,133.2,133.2,133.2,133.2,845
10/7/2022 17:20,133.15,133.15,133.07,133.1,3229
10/7/2022 17:25,133.07,133.23,133.06,133.22,3510
